,GC124712,GC124713,GC124714,GC124715,GC124716,GC124717,GC124718,GC124719,GC124720,GC124721,GC124722,GC124723,original_tags
RIL182_00128,370.62,310.128,290.384,517.569,481.461,208.129,550.111,843.301,312,111,22,46,"fig|536231.75.peg.129|RIL182_00128   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00129,2090.381,1950.872,2034.616,4492.431,4105.539,2278.871,2046.889,4007.642,4583,1951,1055,1576,"fig|536231.75.peg.130|RIL182_00129   SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00130,7600,7426,8320,6090,5977,6345.397,4356,5485,6403,2212,1568,2481,"fig|536231.75.peg.131|RIL182_00130   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00131,43,27,16,83,3,13,55,79,42,34,0,0,"fig|536231.75.peg.132|RIL182_00131   Stage II sporulation protein D (SpoIID)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00132,71,72,62,94,8,81,53,96,140,48,8,35,"fig|536231.75.peg.133|RIL182_00132   Stage II sporulation protein related to metaloproteases (SpoIIQ)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00133,7107,5683,8197,7197,9311,6143,3613,6111,4575,2384,2884,2665,"fig|536231.75.peg.134|RIL182_00133   Diguanylate cyclase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.135   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,1,2,3,3,5,0,0,7,0,0,0,"fig|536231.75.peg.135   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00134,4581.641,3681.768,6153,5034,3193,4286,8288,9388.624,7022,1929,1341,2480,"fig|536231.75.peg.136|RIL182_00134   DEAD-box ATP-dependent RNA helicase DeaD (= CshA) (EC 3.6.4.13)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00135,594,435,597.577,2716,838,1184,815.18,1883,2299,1640,909,814,"fig|536231.75.peg.137|RIL182_00135   Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00136,431,411,618,2903,3561,1006,1076,1910.118,1268,1959,1476,1232,"fig|536231.75.peg.138|RIL182_00136   Phosphate regulon transcriptional regulatory protein PhoB (SphR)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00137,1569,1382,1382,19238,25565,7836,7353,12104.256,5678,8505,3533,5526,"fig|536231.75.peg.139|RIL182_00137   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.140   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",17,19,25,50,57,12,57,125,180,135,29,73,"fig|536231.75.peg.140   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00138,94,77,81,363,474,288,144,154,101,187,190,116,"fig|536231.75.peg.141|RIL182_00138   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00139,126064.348,90624.505,105907.257,205339.426,221961.22,65029.984,78782.368,228450.832,289433.126,55948,31209,46868.907,"fig|536231.75.peg.142|RIL182_00139   Reverse rubrerythrin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00140,40240.567,25886.508,25963.368,53323.374,24052.115,18331.016,28922.004,58631.237,71756,21483,11647,14924,"fig|536231.75.peg.143|RIL182_00140   Peroxide stress regulator PerR, FUR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00141,1222,1098,1578,1931,1710,1263,1426,2234,2013,1061,834,859,"fig|536231.75.peg.144|RIL182_00141   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00142,124,114,167,459,294,207,313,407,405,346,172,166,"fig|536231.75.peg.145|RIL182_00142   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00143,508,321,269,527,198,283,263.758,621,797,487,214,266,"fig|536231.75.peg.146|RIL182_00143   Ribosomal-protein-S5p-alanine acetyltransferase (EC 2.3.1.128)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00144,3451,2464,2974.895,3396.105,4501.962,3029.389,3249.222,4781.605,2392,1126.228,464,835,"fig|536231.75.peg.147|RIL182_00144   tRNA-specific adenosine-34 deaminase (EC 3.5.4.33)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00145,18476.927,14598.081,20455.808,14872.39,18643,12833.327,21020.774,26591.22,17276.895,9917.349,7054.891,9894.674,"fig|536231.75.peg.148|RIL182_00145   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00146,24493.947,24475,31081.711,39788.406,62983,31222,28298.299,27690.689,18936,6320,6051,8243,"fig|536231.75.peg.149|RIL182_00146   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00147,112890.947,90423.668,148912,142963.613,75689,107428.841,63718.563,83180.824,87065,91361,102029,93961,"fig|536231.75.peg.150|RIL182_00147   Phosphate acetyltransferase (EC 2.3.1.8)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00148,1086,712,999,1908,1921.239,1236,1160,1989,2242,3036,1671,2248,"fig|536231.75.peg.151|RIL182_00148   Putative inner membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00149,2282,1487,1507,3682,2091,3141,1798,3117.536,8207,3590,1649,3414,"fig|536231.75.peg.152|RIL182_00149   Cytidylate kinase (EC 2.7.4.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00150,1711,1125,878,3380,1248,2440,2002,3741,7733,4063,1450,3150,"fig|536231.75.peg.153|RIL182_00150   Putative transmembrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.154   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",9,18,3,21,7,10,9,25,14,0,13,0,"fig|536231.75.peg.154   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00152,2,6,0,0,1,0,4,6,24,8,0,0,"fig|536231.75.peg.155|RIL182_00152   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00153,154,93,90,509,233,217,229,334,367,511,250,320,"fig|536231.75.peg.156|RIL182_00153   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00154,1162,757,724,1059,939,1108,1584.209,2145,2207,573,428,553,"fig|536231.75.peg.157|RIL182_00154   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00155,417,307,432,753,1364,535,623,843,444,339,24,279,"fig|536231.75.peg.158|RIL182_00155   Uncharacterized protein clustered with Type I restriction-modification system   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00156,1896,1510,1267,5488,7594,2533,3574,4222,2615,2877,1805,2092,"fig|536231.75.peg.159|RIL182_00156   6-phosphofructokinase (EC 2.7.1.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00157,3594,3141,3359.009,8361,6806,5094,5402,7885,7198,5269,3805,4286,"fig|536231.75.peg.160|RIL182_00157   DNA polymerase III subunits gamma and tau (EC 2.7.7.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00158,776,752,793,717,655,470,1512,1505,938,484,139,388,"fig|536231.75.peg.161|RIL182_00158   Nucleoid-associated protein YaaK   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00159,3609,2743.002,3143,2521,944,2102,3433,3984,2374,1250,896,1196,"fig|536231.75.peg.162|RIL182_00159   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00160,83,87,41,269,146,112,67,121,211,105,98,107,"fig|536231.75.peg.163|RIL182_00160   Phage integrase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00161,53,35,34,15,6,16,76,96,79,12,10,10,"fig|536231.75.peg.164|RIL182_00161   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00162,2243,1974,1610,4050,3170,2110,3302,6178,5207,2792,886,1960,"fig|536231.75.peg.165|RIL182_00162   Flagellin protein FlaA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00163,108,104,72,234,194,67,176,201,66,71,18,75,"fig|536231.75.peg.166|RIL182_00163   Lysine-N-methylase (EC 2.1.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00164,4,6,0,6,9,0,9,18,2,0,0,0,"fig|536231.75.peg.167|RIL182_00164   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00165,51,37,34,41,0,52,117,157,135,50,0,39,"fig|536231.75.peg.168|RIL182_00165   Phosphoglycerate mutase (EC 5.4.2.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00166,415,507,485.101,624,583,315,782,1175,819,414,152,363,"fig|536231.75.peg.169|RIL182_00166   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00167,38,44,51,71,15,45,57,50,38,34,0,0,"fig|536231.75.peg.170|RIL182_00167   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00168,79.52,105.211,94.082,124.166,47.22,89.358,63.932,134.523,151,78,58,119,"fig|536231.75.peg.171|RIL182_00168   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00169,432.48,552.789,780.918,581.834,456.78,358.642,580.068,952.477,803,311,276,396,"fig|536231.75.peg.172|RIL182_00169   Acylphosphate phosphohydrolase (EC 3.6.1.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00170,1594,1401,1597,1103.192,1072,769,582.067,1042.043,402,227,141.127,226,"fig|536231.75.peg.173|RIL182_00170   ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00171,2088,1975,2173,2570,1939,1876,1441,2921,2162,727,476,691,"fig|536231.75.peg.174|RIL182_00171   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00172,454,422,319,711,937,646,598,1128,1089,549,183,474,"fig|536231.75.peg.175|RIL182_00172   Uncharacterized UPF0750 membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00173,4657.358,3951,3744,8479,7966.006,4965,5333,9484.369,7082,3736,1622,2704,"fig|536231.75.peg.176|RIL182_00173   N-acetylglucosamine-1-phosphate uridyltransferase eukaryotic (EC 2.7.7.23)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.177   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",155.642,217,268,253,95.994,170,244,508,408,133,121,117,"fig|536231.75.peg.177   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00174,7813,5946.498,7733,19926,21952,12684,13460.134,20032.94,10183,10635,8066,7273,"fig|536231.75.peg.178|RIL182_00174   GTP pyrophosphokinase (EC 2.7.6.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.179   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",8,8,12,78,148,16,67,69,19,1,0,28,"fig|536231.75.peg.179   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00175,546,426,574,1196,709,483,3133.157,3581,834,694,398,596,"fig|536231.75.peg.180|RIL182_00175   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00176,9201,8223,11471.172,6269,5761,3017,14407.228,12055.756,1168,1058,1103,1438,"fig|536231.75.peg.181|RIL182_00176   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00177,23334.002,16963.341,18161.035,4638,21171,10603,3773,3766,5584,685,1008,967,"fig|536231.75.peg.182|RIL182_00177   no significant homology.   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00178,166,155,249,113,171,329,132,152,49,13,0,7,"fig|536231.75.peg.183|RIL182_00178   Flavodoxin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00179,1031.007,747.407,702.015,424.935,455.535,395.307,4128.844,2831.222,265,94,28,102,"fig|536231.75.peg.184|RIL182_00179   Prevent host death protein, Phd antitoxin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00180,3662.768,3276.14,2420.985,2647.594,4554.901,3206.324,14293.699,10331.542,1523,549,204,589,"fig|536231.75.peg.185|RIL182_00180   Death on curing protein, Doc toxin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00181,2285.726,1752.202,1511,2964.471,2579.865,2032.369,3221.283,4604.236,3199,3090,1727,2389,"fig|536231.75.peg.186|RIL182_00181   Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00182,243.604,224.5,129.214,432.196,235.917,179.974,485.265,619.907,416,293,76,246,"fig|536231.75.peg.187|RIL182_00182   Repressor CsoR of the copZA operon   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00183,20497.374,18569.356,19047.786,17867.804,16468.783,12305.026,17285.737,21077.245,14252,10991,6904,10463,"fig|536231.75.peg.188|RIL182_00183   Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00184,0,0,5,0,14,0,3,1,0,0,0,0,"fig|536231.75.peg.189|RIL182_00184   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.190   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",6,1,5,5,0,11,9,15,25,26,13,0,"fig|536231.75.peg.190   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00185,5325,3710,4704.358,5217,2664,2623,3972,6195.694,4832,1724,950,1608,"fig|536231.75.peg.191|RIL182_00185   Recombination protein RecR   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00186,4714,3157,3221,6258,3220,4512,4102,9168,13935,4630,2449,3769,"fig|536231.75.peg.192|RIL182_00186   Transketolase, N-terminal section (EC 2.2.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00187,4358,3345,3755,9670,8912,7115,5071.652,12795,17070,5882,3094,5085,"fig|536231.75.peg.193|RIL182_00187   Transketolase, C-terminal section (EC 2.2.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00188,37,66,29,113,109,13,84,97,38,38,0,9,"fig|536231.75.peg.194|RIL182_00188   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00189,887,651,845,1027,586,685,1593,2034,1439,592,280,648,"fig|536231.75.peg.195|RIL182_00189   FIG01032175: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00190,304,206,288,521,421,288,646,748,433,244,181,186,"fig|536231.75.peg.196|RIL182_00190   FIG01020216: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00201,31618,24271.825,29102,21035,38601,24218,55255.751,26180.867,4203,784,648,3174,"fig|536231.75.peg.197|RIL182_00201   D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00202,74,50,37,290,81,101,5,28,18,23,0,12,"fig|536231.75.peg.198|RIL182_00202   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00203,3067,1667,4878,3622,4675.993,5781,6981,9249,5492,2418,1335,3233,"fig|536231.75.peg.199|RIL182_00203   ATP synthase F0 sector subunit a (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00204,8,3,18.449,7.818,5.594,22,82.983,78.403,58,15,0,41,"fig|536231.75.peg.200|RIL182_00204   ATP synthase F0 sector subunit c (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00205,548,444,531.551,1201.182,1031.413,1251,2577.017,3963.597,4136,1904,479,1709,"fig|536231.75.peg.201|RIL182_00205   ATP synthase F0 sector subunit b (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00206,167,113,186,349,196,255,1316,1459,870,511,109,515,"fig|536231.75.peg.202|RIL182_00206   ATP synthase delta chain (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00207,1792,1235,1916,3992,3215,4404,7854,11453.045,12847.372,7611,2624,7963,"fig|536231.75.peg.203|RIL182_00207   ATP synthase alpha chain (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00208,610,427,546,2162,2439,1601,2981,5126,6895,3357,1097,3467,"fig|536231.75.peg.204|RIL182_00208   ATP synthase gamma chain (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00209,2701.456,2018.975,3056.493,7818.78,6889.581,6644.966,8236.804,20060.622,29041.226,10176.372,4256.598,10988.658,"fig|536231.75.peg.205|RIL182_00209   ATP synthase beta chain (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00210,1237.544,1059.094,2532.507,3499.22,3433.419,3666.034,2681.196,6445.598,9647.774,3191.628,1920.402,3348.342,"fig|536231.75.peg.206|RIL182_00210   ATP synthase epsilon chain (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00211,214,154,135,1681,352,554,158,251,277,561,351,239,"fig|536231.75.peg.207|RIL182_00211   Transcriptional regulator, AraC family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.208   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",5,1,0,72,91,20,0,5,20,0,0,3,"fig|536231.75.peg.208   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00212,839,881,1136,2445.116,1883,1919,779,1300,1147,946,981,784,"fig|536231.75.peg.209|RIL182_00212   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00213,533,524,468,2015,1945,1141,608,1090,1045,620,406,513,"fig|536231.75.peg.210|RIL182_00213   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00214,446,474.009,434,1029,1237,644,845,1114,768,591,265,356,"fig|536231.75.peg.211|RIL182_00214   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00215,2020,1339,2407,2937,1504,3570,2305,4427,8194,7492,2089,5955,"fig|536231.75.peg.212|RIL182_00215   ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00216,1538,987,1633,1988,1003,2607.69,1689,2835,7702,8341,2515,5346,"fig|536231.75.peg.213|RIL182_00216   Cystine ABC transporter, permease protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00217,2219,1435,1889.064,3914,4570,5331,3403,4716,8009,8578,2189,6007,"fig|536231.75.peg.214|RIL182_00217   ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00218,203,142,117,592,421,403,306,407,380,396,168,330,"fig|536231.75.peg.215|RIL182_00218   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00219,1368,1442.242,1944.052,1623,1805,1017,963,1257,624,391,218,366,"fig|536231.75.peg.216|RIL182_00219   Arabinogalactan endo-1,4-beta-galactanase (EC 3.2.1.89)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00221,41,20,15,22,22,8,11,14,11,0,0,0,"fig|536231.75.peg.217|RIL182_00221   Oxidoreductase, aldo/keto reductase family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00222,72,45,55,139,162,116,319,448,265,180,48,181,"fig|536231.75.peg.218|RIL182_00222   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00223,12720.025,7105.47,9058.559,7147.07,8383.83,5139.033,4140.666,7332.576,4166.814,946.321,447.855,825.58,"fig|536231.75.peg.219|RIL182_00223   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00224,418,360,501,237,168,210,334,411,262,194,183,132,"fig|536231.75.peg.220|RIL182_00224   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00225,214,250,265,179,137,163,281,416,184,91,87,94,"fig|536231.75.peg.221|RIL182_00225   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00226,6122,4169,3775,17920,14725.265,5503.864,9285,18498.707,16228.987,5024,1423,4572,"fig|536231.75.peg.222|RIL182_00226   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00227,1189,1171,1041,5075,6675,3235,3419.156,5668.001,4351,1672,491,1329,"fig|536231.75.peg.223|RIL182_00227   serine_threonine protein kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00228,214.581,196.11,309.833,554.97,341.236,352.814,401.128,425.085,435.08,76.91,107.124,127.012,"fig|536231.75.peg.224|RIL182_00228   Protein of unknown function DUF419   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.225   alpha-mannosidase (EC 3.2.1.24)   [Roseburia intestinalis L1-82 | 536231.75]
",119.257,90.404,92.649,148.579,117.945,127.195,173.453,268.82,100,52,29,82,"fig|536231.75.peg.225   alpha-mannosidase (EC 3.2.1.24)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00229,5900,4822,5365,13737,19147.431,9469.654,9880.001,14884.729,11226,3964,2263,3662,"fig|536231.75.peg.226|RIL182_00229   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00230,4290.161,2984.486,4342.517,2404.451,1253.744,1506.337,2571.959,2571.095,1264.92,455.09,535.876,658.988,"fig|536231.75.peg.227|RIL182_00230   Protein of unknown function DUF419   [Roseburia intestinalis L1-82 | 536231.75]
"
