,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738,original_tags
RIL182_00126,1022,961,1048,210,312,221,77,139,70,2823,2489,4090,17243,12236,15369,"fig|536231.75.peg.127|RIL182_00126   Biotin synthase related domain containing protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00127,1752,2734,2740,203,233,191,108,141,87,1655,1703,2237,4633.043,3175,4200,"fig|536231.75.peg.128|RIL182_00127   Methyl-accepting chemotaxis protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00128,32,75,70,14,13,4,8,10,0,175.143,328,168,654,454,481,"fig|536231.75.peg.129|RIL182_00128   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00129,314,501,677,41,71,59,85,172,51,1706.857,1103,2070,2821,2166,2565,"fig|536231.75.peg.130|RIL182_00129   SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00130,388,573,858,29,66,72,29,61,40,1313,948,1451,1655,1262,1597,"fig|536231.75.peg.131|RIL182_00130   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00131,3,0,2,5,3,0,0,16,0,0,25,0,186,184,129,"fig|536231.75.peg.132|RIL182_00131   Stage II sporulation protein D (SpoIID)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00132,0,8,8,5,0,0,14,0,0,47,60,11,238,229,172,"fig|536231.75.peg.133|RIL182_00132   Stage II sporulation protein related to metaloproteases (SpoIIQ)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00133,274,396,660,54,74,87,120,128,122,6484,5441,7319,6592,5429,6195,"fig|536231.75.peg.134|RIL182_00133   Diguanylate cyclase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.135   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"fig|536231.75.peg.135   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00134,75,181,385,160,104,166,88,40,90,2267,2402,2521,8668,7115,7787,"fig|536231.75.peg.136|RIL182_00134   DEAD-box ATP-dependent RNA helicase DeaD (= CshA) (EC 3.6.4.13)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00135,49,93,205,28,18,47,0,26,0,113,130,143,1179,622,759,"fig|536231.75.peg.137|RIL182_00135   Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00136,58,154,163,21,18,17,50,17,21,597,339,732,253,211,264,"fig|536231.75.peg.138|RIL182_00136   Phosphate regulon transcriptional regulatory protein PhoB (SphR)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00137,590,993,1095,116,236,181,85,194,106,878,910,1204,1087,892,1156,"fig|536231.75.peg.139|RIL182_00137   Two-component system sensor histidine kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.140   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,1,4,1,0,0,0,0,0,10,15,2,76,52,30,"fig|536231.75.peg.140   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00138,7,20,48,3,7,6,13,0,7,101,71,101,75,94,109,"fig|536231.75.peg.141|RIL182_00138   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00139,9805,21862,35299.569,1285,1264,1026,2404,3715,2244,36287,31584,35358,31494,22034,25549,"fig|536231.75.peg.142|RIL182_00139   Reverse rubrerythrin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00140,4225,5412,7283.368,366,336,229,268,140,97,2587,2086,3799,7565,5061,6570,"fig|536231.75.peg.143|RIL182_00140   Peroxide stress regulator PerR, FUR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00141,153,265,302,34,26,31,7,50,18,624,519,476,1032,734,879,"fig|536231.75.peg.144|RIL182_00141   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00142,23,37,42,21,16,14,2,0,0,132,178,190,992,860,717,"fig|536231.75.peg.145|RIL182_00142   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00143,48,63,54,18,12,2,0,0,7,66,34,10,740,615,693,"fig|536231.75.peg.146|RIL182_00143   Ribosomal-protein-S5p-alanine acetyltransferase (EC 2.3.1.128)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00144,143,297,455,35,39,20,44,90,38,1628,1248,2031,2253,1457,2054,"fig|536231.75.peg.147|RIL182_00144   tRNA-specific adenosine-34 deaminase (EC 3.5.4.33)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00145,1148.276,1765.004,2362.575,291.634,307.886,332.713,337.263,306,337.993,10209.097,8527.373,11846.963,35087.246,27272.043,27917.031,"fig|536231.75.peg.148|RIL182_00145   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00146,562,1534,2791,216,183,134,1388,1122,1226,37207,39281,35947,10807,8662.857,8683,"fig|536231.75.peg.149|RIL182_00146   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00147,1801,3171,5880,1159,1120,984,781,735,618,23142,18914,25425,21478,15636,20818,"fig|536231.75.peg.150|RIL182_00147   Phosphate acetyltransferase (EC 2.3.1.8)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00148,34,66,100,37,65,34,43,29,6,1520,1361,2197,2828,1800,2189,"fig|536231.75.peg.151|RIL182_00148   Putative inner membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00149,407,441,757,69,93,60,26,58,19,343,276,742,2624,2246,2417,"fig|536231.75.peg.152|RIL182_00149   Cytidylate kinase (EC 2.7.4.25)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00150,534,516,740,66,87,66,0,15,0,156,303,402,3595,2391,2859,"fig|536231.75.peg.153|RIL182_00150   Putative transmembrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.154   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,3,0,0,0,0,42,18,19,11,23,24,"fig|536231.75.peg.154   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00152,3,0,0,0,0,0,0,0,0,0,15,14,47,45,34,"fig|536231.75.peg.155|RIL182_00152   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00153,26,31,27,12,24,11,4,29,3,123,114,174,1232,1227,1166,"fig|536231.75.peg.156|RIL182_00153   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00154,177,225,214,11,8,18,0,38,10,121,92,140,686,631,626,"fig|536231.75.peg.157|RIL182_00154   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00155,40,47,66,9,5,4,0,31,15,467,297,496,747,558,551,"fig|536231.75.peg.158|RIL182_00155   Uncharacterized protein clustered with Type I restriction-modification system   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00156,191,502,519,55,83,75,43,106,39,1614,1536,1489,2661,2118,2531,"fig|536231.75.peg.159|RIL182_00156   6-phosphofructokinase (EC 2.7.1.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00157,576,983,1221,109,139,152,152,86,80,3190,2767,3725,7068,5361,6286,"fig|536231.75.peg.160|RIL182_00157   DNA polymerase III subunits gamma and tau (EC 2.7.7.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00158,109,141,182,22,14,6,4,10,0,197,296,137,1060,687,622,"fig|536231.75.peg.161|RIL182_00158   Nucleoid-associated protein YaaK   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00159,164,394,458,56,31,33,16,25,9,328,312,304,2468,1533,1941,"fig|536231.75.peg.162|RIL182_00159   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00160,5,7,20,4,9,2,0,4,6,63,108,101,488,386,358,"fig|536231.75.peg.163|RIL182_00160   Phage integrase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00161,0,5,2,10,0,3,0,0,6,6,2,0,42,77,54,"fig|536231.75.peg.164|RIL182_00161   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00162,115,209,251,116,134,95,65,157,101,3722,3392,4059,9435,7372,7868,"fig|536231.75.peg.165|RIL182_00162   Flagellin protein FlaA   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00163,9,16,2,8,7,0,19,46,14,751,708,662,1137,837,906,"fig|536231.75.peg.166|RIL182_00163   Lysine-N-methylase (EC 2.1.1.-)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00164,0,0,1,5,0,0,0,0,0,0,0,0,12,17,21,"fig|536231.75.peg.167|RIL182_00164   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00165,0,13,29,9,1,1,6,8,0,15,19,10,241,158,133,"fig|536231.75.peg.168|RIL182_00165   Phosphoglycerate mutase (EC 5.4.2.11)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00166,37,56,90,3,24,3,11,7,0,311,418,495,867,723,857,"fig|536231.75.peg.169|RIL182_00166   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00167,0,3,15,1,4,1,0,0,0,0,6,8,41,8,18,"fig|536231.75.peg.170|RIL182_00167   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00168,19,23.981,12,0,0,1,1,0,0,32,37,44,116.002,117.01,123.677,"fig|536231.75.peg.171|RIL182_00168   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00169,35,42.019,101,9,2,11,20,0,0,476,436,404,1116.998,768.99,947.323,"fig|536231.75.peg.172|RIL182_00169   Acylphosphate phosphohydrolase (EC 3.6.1.7)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00170,52,132,193,13,39,26,33,16,5,1126,1111,1101,1470,983,858,"fig|536231.75.peg.173|RIL182_00170   ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00171,185,387,501,53,94,58,56,88,46,2081,1788,2280,5204,4209,4372,"fig|536231.75.peg.174|RIL182_00171   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00172,102,161,198,43,51,53,72,61,18,856,868,1263,2097,1606,2247,"fig|536231.75.peg.175|RIL182_00172   Uncharacterized UPF0750 membrane protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00173,530,995,1214,116,154,115,130,161,79,2570,2742,3034,7074,5329,6298,"fig|536231.75.peg.176|RIL182_00173   N-acetylglucosamine-1-phosphate uridyltransferase eukaryotic (EC 2.7.7.23)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.177   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",51,18,43,12,21,3,9,0,0,29,18,40,187,148,156,"fig|536231.75.peg.177   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00174,749,1304,1621,156,207,140,200,191,154,6032.054,5440,7305,7715,6177,8193,"fig|536231.75.peg.178|RIL182_00174   GTP pyrophosphokinase (EC 2.7.6.5)   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.179   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,1,3,0,0,0,0,0,0,48.946,88,25,61,57,53,"fig|536231.75.peg.179   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00175,84,161,157,54,68,52,21,16,4,658,699,430,2820,2456.931,2654,"fig|536231.75.peg.180|RIL182_00175   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00176,85,268,300,91,54,66,103,20,22,2391,2684,2268,3182,3573.069,3347,"fig|536231.75.peg.181|RIL182_00176   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00177,1071,2149,3012,16,2,7,3,44,17,282,125,368,165,199,177,"fig|536231.75.peg.182|RIL182_00177   no significant homology.   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00178,4,69,61,1,0,1,0,0,0,0,0,0,54,49,35,"fig|536231.75.peg.183|RIL182_00178   Flavodoxin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00179,18,85.004,80,20,13,1,0,0,0,83,107,70,363,224.743,255.01,"fig|536231.75.peg.184|RIL182_00179   Prevent host death protein, Phd antitoxin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00180,103,232.996,226,16,11,19,51.726,39,6,1733.917,1447.987,1772.408,1359.832,1272.543,1327.593,"fig|536231.75.peg.185|RIL182_00180   Death on curing protein, Doc toxin   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00181,128,234,266,43,52,41,122.274,140,38,4462.083,3611.013,5594.592,12869.168,8872.715,12155.398,"fig|536231.75.peg.186|RIL182_00181   Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00182,26,38,28.645,20,12,24,2.129,6,62,702.971,890.735,497.558,2611.593,2231.627,2089.072,"fig|536231.75.peg.187|RIL182_00182   Repressor CsoR of the copZA operon   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00183,519,1135,1576.355,257,281,276,604.871,675,530,17640.029,16803.265,22040.442,39308.407,29744.373,37268.928,"fig|536231.75.peg.188|RIL182_00183   Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"fig|536231.75.peg.189|RIL182_00184   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.190   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,15,0,0,0,0,27,33,56,"fig|536231.75.peg.190   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00185,360,618,816,56,40,61,47,11,0,316,171,449,1298,1103,1013,"fig|536231.75.peg.191|RIL182_00185   Recombination protein RecR   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00186,929,1139,1597,95,80,74,53,16,6,953,737,1170,3249,2638,3289,"fig|536231.75.peg.192|RIL182_00186   Transketolase, N-terminal section (EC 2.2.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00187,1115,1526,2044,97,150,139,80,85,29,1281,1037,1575,4044,3004,3734,"fig|536231.75.peg.193|RIL182_00187   Transketolase, C-terminal section (EC 2.2.1.1)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00188,0,0,8,2,3,0,18,0,0,22,13,45,220,217,203,"fig|536231.75.peg.194|RIL182_00188   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00189,75,84,163,38,20,18,0,20,0,610,405,354,2203,1614,1888,"fig|536231.75.peg.195|RIL182_00189   FIG01032175: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00190,12,34,72,9,9,11,29,19,17,457,614,407,1190,912,1008,"fig|536231.75.peg.196|RIL182_00190   FIG01020216: hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00201,322,1561,1557,109,73,29,103,109,10,3169,3438,2931,1976,2490,1861,"fig|536231.75.peg.197|RIL182_00201   D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00202,6,6,0,0,0,0,0,0,0,20,17,21,12,30,12,"fig|536231.75.peg.198|RIL182_00202   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00203,81,70,154,296,205,237,88,113,54,3987,2921,4455,6552,4128,5981.842,"fig|536231.75.peg.199|RIL182_00203   ATP synthase F0 sector subunit a (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00204,0,3,0,2,9,7,0,0,0,0,9,0,113.259,136,69.126,"fig|536231.75.peg.200|RIL182_00204   ATP synthase F0 sector subunit c (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00205,40,69,84,173,174,208,90,50,17,1473,1493,1944,4412.741,2935,3465.032,"fig|536231.75.peg.201|RIL182_00205   ATP synthase F0 sector subunit b (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00206,22,16,21,86,121,136,6,11,0,217,345,365,2336,1991,1820,"fig|536231.75.peg.202|RIL182_00206   ATP synthase delta chain (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00207,88,178,328,536,507,743,234,338,108,4557,4340,5789,18588,13362,17476,"fig|536231.75.peg.203|RIL182_00207   ATP synthase alpha chain (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00208,58,74,102,291,299,286,305,335,137,5075,3911,6815,10503,8198,10205,"fig|536231.75.peg.204|RIL182_00208   ATP synthase gamma chain (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00209,225,268,428,664.208,783.518,933.734,373.389,395,256.259,5975.944,5756.164,8726.565,14047.177,8787.698,12293.86,"fig|536231.75.peg.205|RIL182_00209   ATP synthase beta chain (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00210,32,90,130,218.792,201.482,230.266,166.611,249,119.741,2803.056,3040.836,3762.435,3316.823,2715.302,2944.14,"fig|536231.75.peg.206|RIL182_00210   ATP synthase epsilon chain (EC 3.6.3.14)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00211,19,29,34,14,24,8,12,0,14,86,124,155,370,352,431,"fig|536231.75.peg.207|RIL182_00211   Transcriptional regulator, AraC family   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.208   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
",0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,"fig|536231.75.peg.208   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00212,161,227,222,32,44,51,61,16,27,451,679,525,1721,1178,1406,"fig|536231.75.peg.209|RIL182_00212   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00213,95,168,149,49,63,31,11,75,53,771,818,1074,2741,1928,2636,"fig|536231.75.peg.210|RIL182_00213   beta-glucosidase (EC 3.2.1.21)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00214,265,263,222,16,32,13,64,0,39,535,518,605,2608,1800,2302,"fig|536231.75.peg.211|RIL182_00214   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00215,379,715,1166,142,159,185,34,87,0,283,256,528,2190,1745,2033,"fig|536231.75.peg.212|RIL182_00215   ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00216,511,613,1029,116,177,196,20,56,9,279,206,230,1745,1185,1420,"fig|536231.75.peg.213|RIL182_00216   Cystine ABC transporter, permease protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00217,572,787,1330,210,241,186,31,124,30,356,353,594,1717,1230,1318,"fig|536231.75.peg.214|RIL182_00217   ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00218,33,58,38,15,17,18,14,16,7,232,208,196,1476,1199,1334,"fig|536231.75.peg.215|RIL182_00218   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00219,18,79,102,14,5,14,60,40,32,1375,1269,1353,1875,1342,1400,"fig|536231.75.peg.216|RIL182_00219   Arabinogalactan endo-1,4-beta-galactanase (EC 3.2.1.89)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00221,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,"fig|536231.75.peg.217|RIL182_00221   Oxidoreductase, aldo/keto reductase family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00222,16,14,35,6,10,12,8,10,20,132,145,312,813,716,671,"fig|536231.75.peg.218|RIL182_00222   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00223,184.234,790.429,1134.245,0,42.171,24.853,26.468,93.294,0,141.075,1064.137,1576.223,90.307,87.685,183.198,"fig|536231.75.peg.219|RIL182_00223   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00224,42,29,41,4,5,7,19,9,0,387,206,368,522,468,432,"fig|536231.75.peg.220|RIL182_00224   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00225,22,24,28,0,2,19,0,0,0,247,309,268,503,346,448,"fig|536231.75.peg.221|RIL182_00225   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00226,1309,2390,3162,135,136,104,87,202,63,1864,1222,1862,3754,2628,2865,"fig|536231.75.peg.222|RIL182_00226   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00227,260,695,793,49,67,71,22,155,55,1415,1183,1916,2119,1440,1883,"fig|536231.75.peg.223|RIL182_00227   serine_threonine protein kinase   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00228,31.629,82.195,59.847,7.889,8.995,6,16,13.902,0,115.658,135.589,248.245,180.93,177.748,139.447,"fig|536231.75.peg.224|RIL182_00228   Protein of unknown function DUF419   [Roseburia intestinalis L1-82 | 536231.75]
"
"fig|536231.75.peg.225   alpha-mannosidase (EC 3.2.1.24)   [Roseburia intestinalis L1-82 | 536231.75]
",12,35,35,0,3,0,9,0,0,27.297,27.823,38,195.748,112,125.898,"fig|536231.75.peg.225   alpha-mannosidase (EC 3.2.1.24)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00229,734,1105,1579,123,130,98,433,654,313,17505.853,11635.332,19300,10552,8128.075,8539,"fig|536231.75.peg.226|RIL182_00229   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00230,123.371,334.805,468.153,18.111,1.005,12,0,10.098,6,185.193,179.256,270.755,425.322,418.178,543.655,"fig|536231.75.peg.227|RIL182_00230   Protein of unknown function DUF419   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00231,127,367,620,33,80,26,67,95,66,1363,1760,1434,4054,3043,3295,"fig|536231.75.peg.228|RIL182_00231   ROK family protein (putative glucokinase)   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00232,158,275,427,47,22,17,53,70,30,801,981,1045,2731,2187,2057,"fig|536231.75.peg.229|RIL182_00232   Transcriptional regulator, GntR family   [Roseburia intestinalis L1-82 | 536231.75]
"
RIL182_00233,571,721,1210,90,118,89,51,62,47,1231,836,1480,4653,3466,3717,"fig|536231.75.peg.230|RIL182_00233   hypothetical protein   [Roseburia intestinalis L1-82 | 536231.75]
"
