,gene_ids,,ko,EC_number,cogs,cogs_description,cogs_category
217,RIL182_00218,hypothetical protein,-,-,COG2200,EAL domain,T
218,RIL182_00219,Arabinogalactan endo-1%2C4-beta-galactanase (EC 3.2.1.89),ko:K01224,3.2.1.89,COG3867,arabinogalactan,G
219,RIL182_00221,Oxidoreductase%2C aldo/keto reductase family,-,-,COG0656,aldo keto reductase,C
220,RIL182_00222,hypothetical protein,NA,NA,NA,NA,NA
221,RIL182_00223,hypothetical protein,-,-,COG3547,Transposase IS116/IS110/IS902 family,L
222,RIL182_00224,hypothetical protein,NA,NA,NA,NA,NA
223,RIL182_00225,hypothetical protein,NA,NA,NA,NA,NA
224,RIL182_00226,hypothetical protein,-,-,COG0840,PilZ domain,NT
225,RIL182_00227,serine_threonine protein kinase,-,-,2DNG5,-,-
226,RIL182_00228,Protein of unknown function DUF419,-,-,COG2315,Protein conserved in bacteria,V
227,RIL182_00229,hypothetical protein,-,-,COG2199,GGDEF domain,T
228,RIL182_00230,Protein of unknown function DUF419,-,-,COG2315,Protein conserved in bacteria,V
229,RIL182_00231,ROK family protein (putative glucokinase),ko:K00845,2.7.1.2,COG1940,ROK family,GK
230,RIL182_00232,Transcriptional regulator%2C GntR family,-,-,COG1609,helix_turn_helix gluconate operon transcriptional repressor,K
231,RIL182_00233,hypothetical protein,ko:K09704,-,COG3538,Pfam:DUF1237,S
232,RIL182_00234,alpha-mannosidase (EC 3.2.1.24),ko:K01191,3.2.1.24,COG0383,"Alpha mannosidase, middle domain",G
233,RIL182_00235,Endo-beta-N-acetylglucosaminidase,-,-,COG3291,domain protein,G
234,RIL182_00236,Transcriptional regulator%2C LacI family,ko:K02529,-,COG1609,Periplasmic binding protein-like domain,K
235,RIL182_00237,ABC transporter%2C permease protein 1 (cluster 1%2C maltose/g3p/polyamine/iron),ko:K17319,-,COG4209,Binding-protein-dependent transport system inner membrane component,G
236,RIL182_00238,Multiple sugar ABC transporter%2C permease protein MsmG,ko:K17320,-,COG0395,PFAM binding-protein-dependent transport systems inner membrane component,G
237,RIL182_00239,Multiple sugar ABC transporter%2C substrate-binding protein MsmE,ko:K17318,-,COG1653,Domain of unknown function (DUF3502),G
238,RIL182_00240,1%2C4-beta-mannosyl-N-acetylglucosamine phosphorylase (EC 2.4.1.320),ko:K18785,"2.4.1.319,2.4.1.320",COG2152,"beta-1,4-mannooligosaccharide phosphorylase",G
239,RIL182_00241,hypothetical protein,-,-,COG3547,Transposase IS116/IS110/IS902 family,L
240,RIL182_00242,hypothetical protein,-,-,COG1874,Beta-galactosidase,G
241,RIL182_00243,hypothetical protein,-,-,28I74,COG NOG26804 non supervised orthologous group,S
242,RIL182_00244,alpha-mannosidase (EC 3.2.1.24),ko:K01191,3.2.1.24,COG0383,"Alpha mannosidase, middle domain",G
243,RIL182_00245,Uncharacterized MFS-type transporter,-,-,COG2270,Major Facilitator Superfamily,S
244,RIL182_00246,beta-glucosidase (EC 3.2.1.21),ko:K05349,3.2.1.21,COG1472,"hydrolase, family 3",G
245,RIL182_00247,Mobile element protein,-,-,COG3547,Transposase IS116/IS110/IS902 family,L
246,RIL182_00248,beta-glycosyl hydrolase,-,-,COG3525,"Glycosyl hydrolase family 20, domain 2",G
247,RIL182_00249,Stage V sporulation protein T%2C AbrB family transcriptional regulator (SpoVT),ko:K04769,-,COG2002,stage V sporulation protein T,K
248,RIL182_00250,Exonuclease SbcD,ko:K03547,-,COG0420,Ser Thr phosphatase family protein,L
249,RIL182_00251,Exonuclease SbcC,-,-,COG4717,"Psort location Cytoplasmic, score 8.87",L
250,RIL182_00252,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),ko:K05366,"2.4.1.129,3.4.16.4",COG0744,penicillin-binding protein 1A,M
251,RIL182_00253,Glucokinase (EC 2.7.1.2),ko:K00845,2.7.1.2,COG1940,ROK family,GK
252,RIL182_00254,Substrate-specific component ThiT of thiamin ECF transporter,ko:K16789,-,COG3859,Proton-coupled thiamine transporter YuaJ,S
253,RIL182_00255,ABC transporter%2C substrate-binding protein (cluster 8%2C B12/iron complex),-,-,COG0614,Periplasmic binding protein,P
254,RIL182_00256,Precorrin-2 oxidase (EC 1.3.1.76) @ Sirohydrochlorin ferrochelatase activity of CysG (EC 4.99.1.4) / Uroporphyrinogen-III methyltransferase (EC 2.1.1.107),"ko:K02302,ko:K02303,ko:K13542","1.3.1.76,2.1.1.107,4.2.1.75,4.99.1.4",COG0007,Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps,H
255,RIL182_00258,Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15),ko:K00432,1.11.1.9,COG0386,Belongs to the glutathione peroxidase family,O
256,RIL182_00259,ABC-type cobalamin/Fe3+-siderophores transport systems ATPase components,ko:K02013,3.6.3.34,COG1120,ATPases associated with a variety of cellular activities,HP
257,RIL182_00260,transport system permease protein:ABC-3,ko:K02015,-,COG0609,FecCD transport family,P
258,RIL182_00261,Mobile element protein,-,-,COG3547,Transposase IS116/IS110/IS902 family,L
259,RIL182_00262,Transcriptional regulator%2C HxlR family,-,-,COG1733,PFAM helix-turn-helix HxlR type,K
260,RIL182_00263,MTH1175-like domain family protein,-,-,COG1342,dinitrogenase iron-molybdenum cofactor,O
261,RIL182_00264,Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15),NA,NA,NA,NA,NA
262,RIL182_00265,ABC-type cobalamin/Fe3+-siderophores transport systems ATPase components,ko:K02013,3.6.3.34,COG1120,ATPases associated with a variety of cellular activities,HP
263,RIL182_00266,transport system permease protein:ABC-3,ko:K02015,-,COG0609,FecCD transport family,P
264,RIL182_00267,Mobile element protein,-,-,COG3547,Transposase IS116/IS110/IS902 family,L
265,RIL182_00268,Transcriptional regulator%2C HxlR family,-,-,COG1733,PFAM helix-turn-helix HxlR type,K
266,RIL182_00269,MTH1175-like domain family protein,-,-,COG1342,dinitrogenase iron-molybdenum cofactor,O
267,RIL182_00270,hypothetical protein,ko:K09702,-,COG3506,Protein of unknown function (DUF1349),S
268,RIL182_00271,N-Acetyl-D-glucosamine permease 2%2C possible,-,-,COG0738,Major Facilitator,G
269,RIL182_00272,Transcriptional regulator%2C AraC family,-,-,COG0662,transcriptional regulator (AraC family),K
270,RIL182_00273,Transposase%2C IS30 family,-,-,COG2826,"Psort location Cytoplasmic, score",L
271,RIL182_00274,Mobile element protein,-,-,COG3415,COG COG3335 Transposase and inactivated derivatives,L
272,RIL182_00275,Mobile element protein,-,-,COG3335,"Psort location Cytoplasmic, score 8.87",L
273,RIL182_00276,hypothetical protein,-,-,2942Y,-,-
274,RIL182_00277,hypothetical protein,-,-,2DVUA,-,-
275,RIL182_00278,hypothetical protein,-,-,2DYP1,-,-
276,RIL182_00279,hypothetical protein,-,-,2EW6M,-,-
277,RIL182_00280,hypothetical protein,NA,NA,NA,NA,NA
278,RIL182_00281,von Willebrand factor%2C type A,-,-,2DVU4,-,-
279,RIL182_00282,hypothetical protein,NA,NA,NA,NA,NA
280,RIL182_00283,hypothetical protein,-,-,2DVU4,-,-
281,RIL182_00284,hypothetical protein,NA,NA,NA,NA,NA
282,RIL182_00285,hypothetical protein,-,-,2BA35,-,-
283,RIL182_00286,hypothetical protein,NA,NA,NA,NA,NA
284,RIL182_00287,FIG00987599: hypothetical protein,NA,NA,NA,NA,NA
285,RIL182_00288,hypothetical protein,NA,NA,NA,NA,NA
286,RIL182_00289,hypothetical protein,-,-,28Q2E,-,-
287,RIL182_00290,hypothetical protein,NA,NA,NA,NA,NA
288,RIL182_00291,hypothetical protein,NA,NA,NA,NA,NA
289,RIL182_00292,hypothetical protein,-,-,COG3209,TIGRFAM RHS repeat-associated core,M
290,RIL182_00293,hypothetical protein,NA,NA,NA,NA,NA
291,RIL182_00294,Transposase,-,-,COG3547,Transposase,L
292,RIL182_00295,hypothetical protein,-,-,COG3501,Rhs element vgr protein,F
293,RIL182_00296,hypothetical protein,-,-,COG3501,Rhs element vgr protein,F
294,RIL182_00297,hypothetical protein,NA,NA,NA,NA,NA
295,RIL182_00298,hypothetical protein,-,-,2CAV4,-,-
296,RIL182_00299,Mobile element protein,ko:K07484,-,COG3436,PFAM IS66 Orf2,L
297,RIL182_00300,hypothetical protein,ko:K07484,-,COG4974,Transposase,L
298,RIL182_00301,Chromosome (plasmid) partitioning protein ParA,-,-,COG1484,IstB-like ATP binding protein,L
299,RIL182_00302,Mobile element protein,-,-,COG4584,Integrase core domain,L
300,RIL182_00303,hypothetical protein,-,-,COG4974,PFAM transposase IS66,L
301,RIL182_00304,hypothetical protein,-,-,COG3316,IS66 C-terminal element,L
302,RIL182_00305,hypothetical protein,ko:K07484,-,COG4974,Transposase,L
303,RIL182_00306,hypothetical protein,NA,NA,NA,NA,NA
304,RIL182_00307,Mobile element protein,ko:K07484,-,COG3436,PFAM IS66 Orf2,L
305,RIL182_00308,hypothetical protein,-,-,2CAV4,-,-
306,RIL182_00309,hypothetical protein,-,-,COG4974,IS66 C-terminal element,L
307,RIL182_00310,Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps,-,-,COG0534,"Psort location CytoplasmicMembrane, score",V
308,RIL182_00311,Cytidylate kinase (EC 2.7.4.25),-,-,COG1102,"Cytoplasmic, score",F
309,RIL182_00312,hypothetical protein,ko:K00574,2.1.1.79,COG2230,Protein of unknown function (DUF1698),H
310,RIL182_00313,hypothetical protein,-,-,COG1846,DNA-binding transcription factor activity,K
311,RIL182_00314,Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps,-,-,COG0534,"Psort location CytoplasmicMembrane, score",V
312,RIL182_00315,O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),-,-,COG2873,Cys/Met metabolism PLP-dependent enzyme,E
313,RIL182_00316,Putative sulfite reductase%2C GSU1351 type,ko:K00385,-,COG2221,Nitrite/Sulfite reductase ferredoxin-like half domain,C
314,RIL182_00317,Uncharacterized UPF0033 protein,-,-,COG0425,Belongs to the sulfur carrier protein TusA family,O
315,RIL182_00318,Thioredoxin,ko:K03671,-,COG0526,Thioredoxin,O
316,RIL182_00319,Sulfur carrier protein ThiS,ko:K03154,-,COG2104,thiamine biosynthesis protein ThiS,H
317,RIL182_00320,Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73),ko:K21029,2.7.7.80,COG0476,ThiF family,H
318,RIL182_00321,Sulfer carrier protein activating protease,ko:K21140,3.13.1.6,COG1310,Mov34 MPN PAD-1 family,S
319,RIL182_00322,Acetyltransferase,-,-,COG1670,Acetyltransferase (GNAT) family,J
320,RIL182_00323,Acetyltransferase,-,-,COG1670,Acetyltransferase (GNAT) family,J
321,RIL182_00324,Radical SAM domain protein,-,-,COG1533,"Elongator protein 3, MiaB family, Radical SAM",L
322,RIL182_00325,Acyl carrier protein,ko:K02078,-,COG0236,Carrier of the growing fatty acid chain in fatty acid biosynthesis,IQ
323,RIL182_00326,Enoyl-[acyl-carrier-protein] reductase [FMN%2C NADH] (EC 1.3.1.9)%2C FabK %3D> refractory to triclosan,ko:K02371,1.3.1.9,COG2070,reductase II,S
324,RIL182_00327,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39),ko:K00645,2.3.1.39,COG0331,malonyl coa-acyl carrier protein transacylase,I
325,RIL182_00328,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)%2C FadG,ko:K00059,1.1.1.100,COG1028,"Psort location Cytoplasmic, score",IQ
326,RIL182_00329,3-oxoacyl-[acyl-carrier-protein] synthase%2C KASII (EC 2.3.1.179),ko:K09458,2.3.1.179,COG0304,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP,I
327,RIL182_00330,3-hydroxyacyl-[acyl-carrier-protein] dehydratase%2C FabZ form (EC 4.2.1.59),ko:K02372,4.2.1.59,COG0764,Involved in unsaturated fatty acids biosynthesis. Catalyzes the dehydration of short chain beta-hydroxyacyl-ACPs and long chain saturated and unsaturated beta-hydroxyacyl-ACPs,I
328,RIL182_00331,Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2),"ko:K01962,ko:K01963","2.1.3.15,6.4.1.2",COG0777,Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA,I
329,RIL182_00332,3-oxoacyl-[acyl-carrier-protein] synthase%2C KASIII (EC 2.3.1.180),ko:K00648,2.3.1.180,COG0332,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids,I
330,RIL182_00334,Transcriptional regulator of fatty acid biosynthesis FabT,-,-,COG1846,"Transcriptional regulator, MarR family",K
331,RIL182_00335,L-lactate dehydrogenase (EC 1.1.1.27),ko:K00016,1.1.1.27,COG0039,Belongs to the LDH MDH superfamily. LDH family,C
332,RIL182_00336,hypothetical protein,-,-,2BEFR,-,-
333,RIL182_00337,hypothetical protein,-,-,COG5658,SdpI/YhfL protein family,S
334,RIL182_00338,Maltodextrin ABC transporter%2C permease protein MdxF,ko:K15771,-,COG1175,PFAM binding-protein-dependent transport systems inner membrane component,P
335,RIL182_00339,Maltodextrin ABC transporter%2C permease protein MdxG,ko:K15772,-,COG3833,PFAM binding-protein-dependent transport systems inner membrane component,G
336,RIL182_00340,hypothetical protein,-,-,2C5I7,"Psort location CytoplasmicMembrane, score 9.75",S
337,RIL182_00341,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4),-,-,COG2340,"hydrolase, family 25",N
338,RIL182_00342,NADP-specific glutamate dehydrogenase (EC 1.4.1.4),"ko:K00261,ko:K00262","1.4.1.3,1.4.1.4",COG0334,Belongs to the Glu Leu Phe Val dehydrogenases family,E
339,RIL182_00343,Two-component transcriptional response regulator%2C LuxR family,-,-,COG0745,"Transcriptional regulatory protein, C terminal",KT
340,RIL182_00344,Prevent-host-death family protein,-,-,COG2161,Antitoxin component of a toxin-antitoxin (TA) module,D
341,RIL182_00345,Death on curing protein%2C Doc toxin,-,-,COG3668,"addiction module toxin, RelE StbE family",S
342,RIL182_00346,hypothetical protein,-,-,COG1100,Small GTP-binding protein,S
343,RIL182_00347,Transposase,-,-,COG4467,Transposase IS66 family,S
344,RIL182_00348,hypothetical protein,NA,NA,NA,NA,NA
345,RIL182_00349,hypothetical protein,-,-,COG5421,PFAM Transposase,L
346,RIL182_00350,hypothetical protein,NA,NA,NA,NA,NA
347,RIL182_00351,Mobile element protein,-,-,COG3385,Transposase DDE domain,L
348,RIL182_00352,hypothetical protein,NA,NA,NA,NA,NA
349,RIL182_00353,DNA-cytosine methyltransferase (EC 2.1.1.37),ko:K00558,2.1.1.37,COG0270,PFAM C-5 cytosine-specific DNA methylase,H
350,RIL182_00354,Two-component system sensor histidine kinase,-,-,COG0323,Histidine kinase,T
351,RIL182_00355,hypothetical protein,NA,NA,NA,NA,NA
352,RIL182_00356,hypothetical protein,-,-,28II2,-,-
353,RIL182_00357,hypothetical protein,-,-,COG5421,PFAM Transposase,L
354,RIL182_00358,hypothetical protein,NA,NA,NA,NA,NA
355,RIL182_00359,CBS domain protein,-,-,COG0517,Cbs domain,S
356,RIL182_00360,Multi antimicrobial extrusion protein (Na(+)/drug antiporter)%2C MATE family of MDR efflux pumps,-,-,COG0534,"Psort location CytoplasmicMembrane, score",V
357,RIL182_00361,Multidrug-efflux transporter transcription regulator BltR,-,-,COG0789,transcriptional regulator,KT
358,RIL182_00362,hypothetical protein,-,-,2CJI5,Sporulation and spore germination,S
359,RIL182_00363,hypothetical protein,NA,NA,NA,NA,NA
360,RIL182_00364,Sulfate permease,ko:K03321,-,COG0659,Sulfate transporter,P
361,RIL182_00365,DNA base-flipping protein,ko:K07443,-,COG3695,"6-O-methylguanine DNA methyltransferase, DNA binding domain",L
362,RIL182_00366,Iron-sulfur cluster regulator IscR,-,-,COG1959,transcriptional regulator,K
363,RIL182_00367,hypothetical protein,-,-,28PZ1,"Domain of unknown function, E. rectale Gene description (DUF3877)",S
364,RIL182_00368,2-isopropylmalate synthase (EC 2.3.3.13),ko:K01649,2.3.3.13,COG0119,Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate),E
365,RIL182_00369,Iron-dependent repressor,-,-,COG1321,iron dependent repressor,K
366,RIL182_00370,hypothetical protein,NA,NA,NA,NA,NA
367,RIL182_00371,Hemolysins and related proteins containing CBS domains,-,-,COG1253,Cbs domain,M
368,RIL182_00372,hypothetical protein,NA,NA,NA,NA,NA
369,RIL182_00373,Cysteine desulfurase (EC 2.8.1.7),ko:K04487,2.8.1.7,COG1104,"Master enzyme that delivers sulfur to a number of partners involved in Fe-S cluster assembly, tRNA modification or cofactor biosynthesis. Catalyzes the removal of elemental sulfur atoms from cysteine to produce alanine. Functions as a sulfur delivery protein for Fe-S cluster synthesis onto IscU, an Fe-S scaffold assembly protein, as well as other S acceptor proteins",E
370,RIL182_00374,Iron-sulfur cluster assembly scaffold protein IscU/NifU-like,ko:K04488,-,COG0822,"assembly protein, NifU family",C
371,RIL182_00375,O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) @ O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),ko:K01740,2.5.1.49,COG2873,"Psort location Cytoplasmic, score 9.98",E
372,RIL182_00376,Cysteine synthase (EC 2.5.1.47),ko:K01738,2.5.1.47,COG0031,Belongs to the cysteine synthase cystathionine beta- synthase family,E
373,RIL182_00377,Signal peptidase I (EC 3.4.21.89),ko:K03100,3.4.21.89,COG0681,Belongs to the peptidase S26 family,U
374,RIL182_00378,Cobalt-zinc-cadmium resistance protein,-,-,COG0053,Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family,P
375,RIL182_00379,Response regulator c-di-GMP phosphodiesterase%2C RpfG family,ko:K07814,-,COG3437,HD domain,T
376,RIL182_00380,Signal transduction histidine-protein kinase BarA (EC 2.7.13.3),-,-,COG0784,His Kinase A (phosphoacceptor) domain,T
377,RIL182_00381,hypothetical protein,-,-,COG0642,His Kinase A (phosphoacceptor) domain,T
378,RIL182_00382,Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193),ko:K11752,"1.1.1.193,3.5.4.26",COG0117,"Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate",H
379,RIL182_00383,Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9),ko:K00793,2.5.1.9,COG0307,"riboflavin synthase, alpha subunit",H
