,gene_id,description,ko,EC_number,cogs,cogs_description
347,BT_0347,transketolase,K00615,2.2.1.1,COG0021,Carbohydrate transport and metabolism
348,BT_0348,alpha-L-arabinofuranosidase,K01209,3.2.1.55,COG3534,Carbohydrate transport and metabolism
349,BT_0349,Acetyl-CoA carboxylase%2C biotin carboxylase,K09955,NA,COG3533,Carbohydrate transport and metabolism
350,BT_0350,xylulose kinase (xylulokinase),NA,NA,COG1070,Carbohydrate transport and metabolism
351,BT_0351,L-arabinose isomerase,K01804,5.3.1.4,COG2160,Carbohydrate transport and metabolism
352,BT_0352,conserved hypothetical protein,NA,NA,NA,NA
353,BT_0353,putative sugar epimerase/aldolase,K03077,5.1.3.4,COG0235,Carbohydrate transport and metabolism
354,BT_0354,NUDIX family hydrolase,NA,NA,COG1051,Nucleotide transport and metabolism
355,BT_0355,Na+/glucose cotransporter,K03307,NA,COG4146,General function prediction only
356,BT_0356,aldose 1-epimerase precursor,K01785,5.1.3.3,COG2017,Carbohydrate transport and metabolism
357,BT_0357,hypothetical protein,NA,NA,NA,NA
358,BT_0358,transposase,NA,NA,COG2801,"Mobilome: prophages, transposons"
359,BT_0359,hypothetical protein,NA,NA,NA,NA
360,BT_0360,putative arabinan endo-1%2C5-alpha-L-arabinosidase,NA,NA,COG3507,Carbohydrate transport and metabolism
361,BT_0361,SusD homolog,K21572,NA,NA,NA
362,BT_0362,SusC homolog,NA,NA,NA,NA
363,BT_0363,SusD homolog,K21572,NA,NA,NA
364,BT_0364,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
365,BT_0365,Concanavalin A-like lectin/glucanase,NA,NA,NA,NA
366,BT_0366,two-component system sensor histidine kinase/response regulator%2C hybrid (one component system),NA,NA,COG3292,Signal transduction mechanisms
367,BT_0367,putative endo-arabinase,K06113,3.2.1.99,COG3507,Carbohydrate transport and metabolism
368,BT_0368,alpha-L-arabinofuranosidase A precursor,NA,NA,COG3534,Carbohydrate transport and metabolism
369,BT_0369,endo-1%2C4-beta-xylanase D precursor,NA,NA,COG3507,Carbohydrate transport and metabolism
370,BT_0370,galactokinase,K00849,2.7.1.6,COG0153,Carbohydrate transport and metabolism
371,BT_0371,glucose/galactose transporter,K02429,NA,COG0738,Carbohydrate transport and metabolism
372,BT_0372,aldose 1-epimerase precursor,K01785,5.1.3.3,COG2017,Carbohydrate transport and metabolism
373,BT_0373,mannose-6-phosphate isomerase,K01809,5.3.1.8,COG1482,Carbohydrate transport and metabolism
374,BT_0374,conserved hypothetical protein,NA,NA,NA,NA
375,BT_0375,integrase,NA,NA,COG4974,"Replication, recombination and repair"
376,BT_0376,putative transcriptional regulator,NA,NA,COG0250,Transcription
377,BT_0377,conserved hypothetical protein,NA,NA,NA,NA
378,BT_0378,capsular polysaccharide biosynthesis protein capD,NA,NA,COG1086,Cell wall/membrane/envelope biogenesis
379,BT_0379,UDP-glucose 6-dehydrogenase,K00012,1.1.1.22,COG1004,Cell wall/membrane/envelope biogenesis
380,BT_0380,nucleotide sugar epimerase,NA,NA,COG0451,Cell wall/membrane/envelope biogenesis
381,BT_0381,capsular polysaccharide biosynthesis protein capD,K15894,4.2.1.115,COG1086,Cell wall/membrane/envelope biogenesis
382,BT_0382,capsular polysaccharide biosynthesis protein Cps4K,K19068,1.1.1.367,COG1898,Cell wall/membrane/envelope biogenesis
383,BT_0383,putative UDP-N-acetylglucosamine 2-epimerase,K24258,5.1.3.28,COG0381,Cell wall/membrane/envelope biogenesis
384,BT_0384,hypothetical protein,NA,NA,NA,NA
385,BT_0385,conserved hypothetical protein,NA,NA,NA,NA
386,BT_0386,putative F420H2-dehydrogenase,NA,NA,COG1035,Energy production and conversion
387,BT_0387,NADH dehydrogenase subunit 2,NA,NA,NA,NA
388,BT_0388,galactoside O-acetyltransferase,NA,NA,COG0110,General function prediction only
389,BT_0389,putative galactoside acetyltransferase,NA,NA,COG0110,General function prediction only
390,BT_0390,putative O-antigen export protein,NA,NA,NA,NA
391,BT_0391,putative protein involved in capsular polysaccharide biosynthesis,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
392,BT_0392,lipopolysaccharide biosynthesis RfbU-related protein,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
393,BT_0393,serine acetyltransferase,NA,NA,COG1045,Amino acid transport and metabolism
394,BT_0394,capsular polysaccharide biosynthesis glycosyltransferase,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
395,BT_0395,hypothetical protein,NA,NA,NA,NA
396,BT_0396,putative UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase,NA,NA,COG0472,Cell wall/membrane/envelope biogenesis
397,BT_0397,conserved hypothetical protein,NA,NA,NA,NA
398,BT_0398,polysaccharide export outer membrane protein,K01991,NA,COG1596,Cell wall/membrane/envelope biogenesis
399,BT_0399,tyrosine-protein kinase ptk involved in exopolysaccharide biosynthesis,NA,NA,COG3206,Cell wall/membrane/envelope biogenesis
400,BT_0400,putative tyrosine-protein kinase in capsular polysaccharide biosynthesis region,NA,NA,COG3206,Cell wall/membrane/envelope biogenesis
401,BT_0401,hypothetical protein,NA,NA,NA,NA
402,BT_0402,hypothetical protein,NA,NA,NA,NA
403,BT_0403,putative DNA binding protein,NA,NA,COG0776,"Replication, recombination and repair"
404,BT_0404,hypothetical protein,NA,NA,NA,NA
405,BT_0405,hypothetical protein,NA,NA,NA,NA
406,BT_0406,conserved hypothetical protein,NA,NA,NA,NA
407,BT_0407,conserved hypothetical protein,NA,NA,NA,NA
408,BT_0408,conserved hypothetical protein,NA,NA,NA,NA
409,BT_0409,putative short-chain dehydrogenase,NA,NA,COG4221,Energy production and conversion
410,BT_0410,Sporulation related,NA,NA,COG3087,"Cell cycle control, cell division, chromosome partitioning"
411,BT_0411,CysQ%2C sulfite synthesis pathway protein,K01082,3.1.3.7,COG1218,Inorganic ion transport and metabolism
412,BT_0412,putative Na+/sulfate symporter,NA,NA,COG0471,Carbohydrate transport and metabolism
413,BT_0413,putative adenylylsulfate kinase,K00860,2.7.1.25,COG0529,Inorganic ion transport and metabolism
414,BT_0414,sulfate adenylyltransferase subunit 2,K00957,2.7.7.4,COG0175,Amino acid transport and metabolism
415,BT_0415,sulfate adenylyltransferase subunit 1/adenylylsulfate kinase,K00956,2.7.7.4,COG2895,Inorganic ion transport and metabolism
416,BT_0416,possible sulfotransferase,NA,NA,NA,NA
417,BT_0417,conserved hypothetical protein,NA,NA,NA,NA
418,BT_0418,outer membrane porin F precursor,NA,NA,COG2885,Cell wall/membrane/envelope biogenesis
419,BT_0419,putative endonuclease,K07447,NA,COG0816,"Translation, ribosomal structure and biogenesis"
420,BT_0420,peptide deformylase(PDF),K01462,3.5.1.88,COG0242,"Translation, ribosomal structure and biogenesis"
421,BT_0421,tetratricopeptide repeat (TPR) family protein,NA,NA,COG4783,Cell wall/membrane/envelope biogenesis
422,BT_0422,threonyl-tRNA synthetase,K01868,6.1.1.3,COG0441,"Translation, ribosomal structure and biogenesis"
423,BT_0423,translation initiation factor IF-3,K02520,NA,COG0290,"Translation, ribosomal structure and biogenesis"
424,BT_0424,50S ribosomal protein L35,K02916,NA,COG0291,"Translation, ribosomal structure and biogenesis"
425,BT_0425,50S ribosomal protein L20,K02887,NA,COG0292,"Translation, ribosomal structure and biogenesis"
426,BT_0426,4Fe-4S ferredoxin%2C iron-sulfur binding-like protein,NA,NA,COG1143,Energy production and conversion
427,BT_0427,xanthine phosphoribosyltransferase,K03816,2.4.2.22,COG0503,Nucleotide transport and metabolism
428,BT_0428,phenylacetate-coenzyme A ligase,NA,NA,COG1541,Coenzyme transport and metabolism
429,BT_0429,indolepyruvate oxidoreductase subunit iorB,K00180,1.2.7.8,COG1014,Energy production and conversion
430,BT_0430,indolepyruvate oxidoreductase subunit iorA,K00179,1.2.7.8,COG4231,Energy production and conversion
431,BT_0431,putative aminodeoxychorismate lyase,K07082,NA,COG1559,Cell wall/membrane/envelope biogenesis
432,BT_0432,putative endonuclease BB0411,K01173,NA,COG1864,Nucleotide transport and metabolism
433,BT_t02,tRNA-Thr,K14234,NA,NA,NA
434,BT_0433,putative xylose repressor,NA,NA,COG1940,Transcription
435,BT_0434,Pyridine nucleotide-disulphide oxidoreductase-like protein,NA,NA,COG0644,Energy production and conversion
436,BT_0435,hypothetical protein,NA,NA,NA,NA
437,BT_0436,arabinose-proton symporter,NA,NA,COG2814,Carbohydrate transport and metabolism
438,BT_0437,N-acylglucosamine 2-epimerase,K01787,5.1.3.8,COG2942,Carbohydrate transport and metabolism
439,BT_0438,alpha-N-acetylglucosaminidase precursor,K01205,3.2.1.50,NA,NA
440,BT_0439,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
441,BT_0440,SusD homolog,K21572,NA,NA,NA
442,BT_0441,putative chitobiase,NA,NA,NA,NA
443,BT_0442,glycerophosphoryl diester phosphodiesterase,NA,NA,COG0584,Lipid transport and metabolism
444,BT_0443,thermostable beta-glucosidase B,NA,NA,NA,NA
445,BT_0444,hypothetical protein,NA,NA,NA,NA
446,BT_0445,endoglucanase E precursor (EGE),NA,NA,COG2755,"Cell cycle control, cell division, chromosome partitioning"
447,BT_0446,conserved hypothetical protein,NA,NA,NA,NA
448,BT_0447,S-layer related protein precursor%2C sialic acid-specific 9-O-acetylesterase,NA,NA,COG1649,Function unknown
449,BT_0448,putative metallophosphoesterase,NA,NA,COG1409,Signal transduction mechanisms
450,BT_0449,conserved hypothetical protein%2C putative S-layer related protein precursor,NA,NA,COG1649,Function unknown
451,BT_0450,conserved hypothetical protein,NA,NA,NA,NA
452,BT_0451,SusD homolog,K21572,NA,NA,NA
453,BT_0452,SusC homolog,NA,NA,COG4771,Inorganic ion transport and metabolism
454,BT_0453,N-acylglucosamine 2-epimerase,K01787,5.1.3.8,COG2942,Carbohydrate transport and metabolism
455,BT_0454,arabinose-proton symporter (Arabinose transporter),NA,NA,NA,NA
456,BT_0455,sialidase (Neuraminidase),K01186,3.2.1.18,COG4409,Cell wall/membrane/envelope biogenesis
457,BT_0456,beta-hexosaminidase precursor,NA,NA,COG3525,Carbohydrate transport and metabolism
458,BT_0457,sialic acid-specific 9-O-acetylesterase,K05970,3.1.1.53,COG2755,"Cell cycle control, cell division, chromosome partitioning"
459,BT_0458,beta-mannosidase precursor,K01192,3.2.1.25,COG3250,Carbohydrate transport and metabolism
460,BT_0459,beta-hexosaminidase precursor,K12373,3.2.1.52,COG3525,Carbohydrate transport and metabolism
461,BT_0460,beta-hexosaminidase precursor,K12373,3.2.1.52,COG3525,Carbohydrate transport and metabolism
462,BT_0461,beta-galactosidase,K01190,3.2.1.23,COG3250,Carbohydrate transport and metabolism
463,BT_0462,putative transcriptional regulator,NA,NA,COG0250,Transcription
464,BT_0463,glucose-1-phosphate thymidylyltransferase,K00973,2.7.7.24,COG1209,Cell wall/membrane/envelope biogenesis
465,BT_0464,dTDP-4-dehydrorhamnose 3%2C5-epimerase,K01790,5.1.3.13,COG1898,Cell wall/membrane/envelope biogenesis
466,BT_0465,dTDP-4-dehydrorhamnose reductase,K00067,1.1.1.133,COG1091,Cell wall/membrane/envelope biogenesis
467,BT_0466,dTDP-glucose 4%2C6-dehydratase,K01710,4.2.1.46,COG1088,Cell wall/membrane/envelope biogenesis
468,BT_0467,putative flippase,NA,NA,COG0534,Defense mechanisms
469,BT_0468,putative F420H2-dehydrogenase 40 kDa subunit,NA,NA,COG1035,Energy production and conversion
470,BT_0469,hypothetical protein,NA,NA,NA,NA
471,BT_0470,hypothetical protein,NA,NA,NA,NA
472,BT_0471,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
473,BT_0472,putative acyltransferase in colanic acid biosynthesis,NA,NA,COG0110,General function prediction only
474,BT_0473,glycoside transferase family 2,NA,NA,COG0463,Cell wall/membrane/envelope biogenesis
475,BT_0474,D-glycero-D-manno-heptose 1-phosphate kinase,K07031,2.7.1.168,COG2605,General function prediction only
476,BT_0475,putative phosphoheptose isomerase,K03271,5.3.1.28,COG0279,Carbohydrate transport and metabolism
477,BT_0476,D-mannose-1-phosphate guanyltransferase,K15669,2.7.7.71,COG1208,"Translation, ribosomal structure and biogenesis"
478,BT_0477,putative phosphatase,K03273,3.1.3.83,COG0241,Amino acid transport and metabolism
479,BT_0478,glycoside transferase family 4,NA,NA,COG0438,Cell wall/membrane/envelope biogenesis
480,BT_0479,glycoside transferase family 2,NA,NA,COG1216,Carbohydrate transport and metabolism
481,BT_0480,glycosyltransferase,NA,NA,COG2148,Cell wall/membrane/envelope biogenesis
482,BT_0481,polysaccharide export outer membrane protein,K01991,NA,COG1596,Cell wall/membrane/envelope biogenesis
483,BT_0482,tyrosine-protein kinase ptk,K16692,2.7.10.3,COG3206,Cell wall/membrane/envelope biogenesis
484,BT_0483,SusC homolog,NA,NA,COG1629,Inorganic ion transport and metabolism
485,BT_0484,SusD homolog,K21572,NA,NA,NA
486,BT_0485,transposase,NA,NA,COG3547,"Mobilome: prophages, transposons"
487,BT_0486,altronate hydrolase,K01685,4.2.1.7,COG2721,Carbohydrate transport and metabolism
488,BT_0487,transcriptional regulator,K02529,NA,COG1609,Transcription
489,BT_0488,2-dehydro-3-deoxygluconokinase,K00874,2.7.1.45,COG0524,Carbohydrate transport and metabolism
490,BT_0489,putative gluconate aldolase,K01625,4.1.3.42,COG0800,Carbohydrate transport and metabolism
491,BT_0490,conserved hypothetical protein,NA,NA,NA,NA
492,BT_0491,conserved hypothetical protein,NA,NA,COG4744,Function unknown
493,BT_0492,integral membrane protein,NA,NA,COG0811,"Intracellular trafficking, secretion, and vesicular transport"
494,BT_0493,conserved hypothetical protein,NA,NA,NA,NA
495,BT_0494,protoporphyrin IX magnesium chelatase,K02230,6.6.1.2,COG1429,Coenzyme transport and metabolism
496,BT_0495,cobalamin biosynthesis protein,K02230,6.6.1.2,COG1429,Coenzyme transport and metabolism
497,BT_0496,TonB-dependent receptor,K16089,NA,COG4771,Inorganic ion transport and metabolism
498,BT_0497,putative lipoprotein,NA,NA,NA,NA
499,BT_0498,conserved hypothetical protein,NA,NA,NA,NA
500,BT_0499,cation efflux system protein,K16264,NA,COG1230,Inorganic ion transport and metabolism
501,BT_0500,putative transport protein,K07085,NA,COG2985,General function prediction only
502,BT_0501,conserved hypothetical protein,NA,NA,NA,NA
503,BT_0502,TonB-dependent outer membrane receptor,K16089,NA,COG4771,Inorganic ion transport and metabolism
504,BT_0503,conserved hypothetical protein,NA,NA,NA,NA
505,BT_0504,TonB-dependent outer membrane receptor,K16089,NA,COG4771,Inorganic ion transport and metabolism
506,BT_0505,Transcription factor like%2C MADS-box,NA,NA,COG4430,Function unknown
507,BT_0506,beta-hexosaminidase precursor,K12373,3.2.1.52,COG3525,Carbohydrate transport and metabolism
508,BT_0507,transcriptional regulator (TetR/AcrR family),NA,NA,COG1309,Transcription
509,BT_0508,ABC transporter ATP-binding protein,K14698,NA,COG1132,Defense mechanisms
510,BT_0509,ABC transporter ATP-binding/transmembrane protein,K14699,NA,COG1132,Defense mechanisms
511,BT_0510,putative heme biosynthesis protein,NA,NA,COG0535,"Cell cycle control, cell division, chromosome partitioning"
512,BT_0511,hypothetical protein,NA,NA,NA,NA
513,BT_0512,hypothetical protein,NA,NA,NA,NA
514,BT_0513,hypothetical protein,NA,NA,NA,NA
515,BT_0514,conserved hypothetical protein,NA,NA,NA,NA
516,BT_0515,terminal quinol oxidase%2C subunit%2C putative (doxD-like),K05908,1.8.5.2,NA,NA
517,BT_0516,conserved hypothetical protein,NA,NA,NA,NA
518,BT_0517,flavodoxin,K03839,NA,COG0716,Energy production and conversion
519,BT_0518,Bifunctional purine biosynthesis protein%2C putative 5-aminoimidazole-4-carboxamide ribonucleotide(AICAR) transformylase/IMP cyclohydrolase,K00602,3.5.4.10,COG0138,Nucleotide transport and metabolism
520,BT_0519,protein with hemerythrin HHE cation binding region,K07322,NA,NA,NA
521,BT_0520,transcriptional regulator,NA,NA,COG2197,Transcription
522,BT_0521,putative acetyl transferase,NA,NA,COG0110,General function prediction only
523,BT_0522,putative capsule-related protein,NA,NA,NA,NA
524,BT_0523,putative glycosyltransferase,NA,NA,COG2148,Cell wall/membrane/envelope biogenesis
525,BT_0524,putative two-component system response regulator,NA,NA,COG0784,Signal transduction mechanisms
526,BT_0525,outer membrane protein,NA,NA,NA,NA
527,BT_0526,L-asparaginase I,K01424,3.5.1.1,COG0252,"Translation, ribosomal structure and biogenesis"
528,BT_0527,tryptophan synthase alpha chain,K01695,4.2.1.20,COG0159,Amino acid transport and metabolism
529,BT_0528,putative N-(5'-phosphoribosyl)anthranilate isomerase,K01817,5.3.1.24,COG0135,Amino acid transport and metabolism
530,BT_0529,indole-3-glycerol phosphate synthase,K01609,4.1.1.48,COG0134,Amino acid transport and metabolism
531,BT_0530,anthranilate phosphoribosyltransferase,K00766,2.4.2.18,COG0547,Amino acid transport and metabolism
532,BT_0531,anthranilate synthase component II,K01658,4.1.3.27,COG0512,Amino acid transport and metabolism
533,BT_0532,anthranilate synthase component I,K01657,4.1.3.27,COG0147,Amino acid transport and metabolism
534,BT_0533,tryptophan synthase beta chain,K01696,4.2.1.20,COG0133,Amino acid transport and metabolism
535,BT_0534,hypothetical protein,NA,NA,NA,NA
536,BT_0535,iron-containing alcohol dehydrogenase,K08325,NA,COG1979,Energy production and conversion
537,BT_0536,two-component system sensor protein,NA,NA,COG0642,Signal transduction mechanisms
538,BT_0537,putative two-component system sensor kinase/response regulator,NA,NA,NA,NA
539,BT_0538,hypothetical protein,NA,NA,NA,NA
540,BT_0539,putative Na+/sulphate transporter,NA,NA,COG0569,Signal transduction mechanisms
541,BT_0540,putative exopolyphosphatase,K01524,3.6.1.40,COG0248,Signal transduction mechanisms
542,BT_0541,Polyphosphate kinase,K00937,2.7.4.1,COG0855,Inorganic ion transport and metabolism
543,BT_0542,tRNA/rRNA methyltransferase%2C SpoU-like protein,NA,NA,COG3247,General function prediction only
544,BT_0543,glutamine synthetase,K01915,6.3.1.2,COG3968,Amino acid transport and metabolism
545,BT_0544,ammonium transporter,K03320,NA,COG0004,Inorganic ion transport and metabolism
546,BT_0545,nitrogen regulatory protein P-II,K04751,NA,COG0347,Signal transduction mechanisms
547,BT_0546,conserved hypothetical protein,NA,NA,NA,NA
548,BT_0547,aspartate aminotransferase,K10206,2.6.1.83,COG0436,Amino acid transport and metabolism
549,BT_0548,diaminopimelate epimerase,K01778,5.1.1.7,COG0253,Amino acid transport and metabolism
550,BT_0549,putative thioredoxin,NA,NA,NA,NA
551,BT_0550,putative glycerophosphodiester phosphodiesterase,K01126,3.1.4.46,COG0584,Lipid transport and metabolism
552,BT_0551,asparagine synthetase B%2C glutamine-hydrolyzing,K01953,6.3.5.4,COG0367,Amino acid transport and metabolism
553,BT_0552,glutamate synthase%2C small subunit,K00266,1.4.1.13,COG0493,Amino acid transport and metabolism
